  VIAB-CONTEXTO  nucleos=12 jobs=6 carga_al_empezar=3.76 nula_lista=si corrida=corrida-1322700-1789138857 criterio=docs/arnes/req-024-ca-07-ii-reparacion/03-fase-1-viabilidad-en-el-runner.md
  VIAB  V0 k=4 r=6 n=5 razon_milesimas=1059 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1364587-1789138949141853 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=3.49 jobs=desconocido k=4 r=6 us=772819 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n5 min=60034 max=67786 min2=61204 disp=1129 acompanada=no min_a=60034 max_a=67786 min2_a=61204 min_b=56659 max_b=74523 min2_b=58388 razon=1059 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=4 razon_milesimas=995 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1364787-1789138949923879 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=3.49 jobs=desconocido k=8 r=15 us=3679171 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n4 min=107813 max=135903 min2=109856 disp=1260 acompanada=si min_a=107813 max_a=135903 min2_a=109856 min_b=108325 max_b=136395 min2_b=112540 razon=995 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=3 razon_milesimas=993 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1365755-1789138953610386 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=3.29 jobs=desconocido k=8 r=30 us=6869293 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n3 min=104856 max=142513 min2=105335 disp=1359 acompanada=si min_a=104856 max_a=142513 min2_a=105335 min_b=105572 max_b=125105 min2_b=105838 razon=993 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=6 razon_milesimas=990 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1367701-1789138960489192 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=3.03 jobs=desconocido k=4 r=6 us=677461 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n6 min=51278 max=58692 min2=55314 disp=1144 acompanada=no min_a=51278 max_a=58692 min2_a=55314 min_b=51768 max_b=64003 min2_b=52823 razon=990 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=5 razon_milesimas=981 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1367895-1789138961176091 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=3.03 jobs=desconocido k=8 r=15 us=4167480 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n5 min=105550 max=224334 min2=107215 disp=2125 acompanada=si min_a=105550 max_a=224334 min2_a=107215 min_b=107558 max_b=219647 min2_b=112135 razon=981 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=4 razon_milesimas=1037 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1368875-1789138965352404 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.87 jobs=desconocido k=8 r=30 us=9835864 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n4 min=121553 max=282354 min2=121994 disp=2322 acompanada=si min_a=121553 max_a=282354 min2_a=121994 min_b=117205 max_b=284281 min2_b=121452 razon=1037 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V3 k=8 r=60 n=2 razon_milesimas=1001 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1370827-1789138975196381 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.57 jobs=desconocido k=8 r=60 us=14420915 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V3-n2 min=106231 max=169926 min2=106854 disp=1599 acompanada=si min_a=106231 max_a=169926 min2_a=106854 min_b=106045 max_b=152486 min2_b=106168 razon=1001 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=7 razon_milesimas=1019 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1374711-1789138989625703 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.23 jobs=desconocido k=4 r=6 us=780813 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n7 min=57446 max=70264 min2=58699 disp=1223 acompanada=no min_a=57446 max_a=70264 min2_a=58699 min_b=56322 max_b=79514 min2_b=61561 razon=1019 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=8 razon_milesimas=1023 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1374905-1789138990416305 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.23 jobs=desconocido k=4 r=6 us=803601 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n8 min=62884 max=71076 min2=66622 disp=1130 acompanada=no min_a=62884 max_a=71076 min2_a=66622 min_b=61420 max_b=70040 min2_b=63813 razon=1023 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=6 razon_milesimas=984 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-1322700-1789138857 invocacion=1375099-1789138991228533 arbol=desconocido plataforma=linux-gnu-x86_64-bash5.3 carga=2.23 jobs=desconocido k=8 r=15 us=3909085 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n6 min=120284 max=137716 min2=121470 disp=1144 acompanada=no min_a=120284 max_a=137716 min2_a=121470 min_b=122194 max_b=143350 min2_b=123290 razon=984 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
