  VIAB-CONTEXTO  nucleos=4 jobs=6 carga_al_empezar=5.04 nula_lista=si corrida=corrida-2355-1789139627 criterio=docs/arnes/req-024-ca-07-ii-reparacion/03-fase-1-viabilidad-en-el-runner.md
  VIAB  V0 k=4 r=6 n=5 razon_milesimas=991 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=43968-1789139727087331 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=4.14 jobs=desconocido k=4 r=6 us=681638 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n5 min=54883 max=56804 min2=55472 disp=1035 acompanada=no min_a=54883 max_a=56804 min2_a=55472 min_b=55333 max_b=56142 min2_b=55497 razon=991 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=4 razon_milesimas=1000 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=44162-1789139727774460 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.89 jobs=desconocido k=8 r=15 us=3321899 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n4 min=108870 max=112711 min2=108987 disp=1035 acompanada=no min_a=108870 max_a=112711 min2_a=108987 min_b=108850 max_b=111473 min2_b=109050 razon=1000 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=3 razon_milesimas=1005 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=45125-1789139731101883 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.89 jobs=desconocido k=8 r=30 us=6713581 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n3 min=108971 max=118622 min2=109333 disp=1088 acompanada=no min_a=108971 max_a=118622 min2_a=109333 min_b=108419 max_b=115220 min2_b=108534 razon=1005 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=6 razon_milesimas=1003 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=47047-1789139737820897 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.44 jobs=desconocido k=4 r=6 us=665204 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n6 min=54290 max=54921 min2=54320 disp=1011 acompanada=no min_a=54290 max_a=54921 min2_a=54320 min_b=54115 max_b=55250 min2_b=54183 razon=1003 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=5 razon_milesimas=999 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=47241-1789139738491494 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.44 jobs=desconocido k=8 r=15 us=3299510 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n5 min=108811 max=110345 min2=108914 disp=1014 acompanada=no min_a=108811 max_a=110345 min2_a=108914 min_b=108882 max_b=110366 min2_b=109055 razon=999 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V2 k=8 r=30 n=4 razon_milesimas=999 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=48203-1789139741796530 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.44 jobs=desconocido k=8 r=30 us=6638384 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V2-n4 min=108935 max=111696 min2=109250 disp=1025 acompanada=no min_a=108935 max_a=111696 min2_a=109250 min_b=109029 max_b=112386 min2_b=109531 razon=999 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V3 k=8 r=60 n=2 razon_milesimas=999 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=50127-1789139748440458 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=3.06 jobs=desconocido k=8 r=60 us=13259267 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V3-n2 min=108298 max=122026 min2=108624 disp=1126 acompanada=no min_a=108298 max_a=122026 min2_a=108624 min_b=108330 max_b=127392 min2_b=108396 razon=999 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=7 razon_milesimas=1000 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=53971-1789139761705258 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.75 jobs=desconocido k=4 r=6 us=672457 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n7 min=54921 max=55410 min2=54927 disp=1008 acompanada=no min_a=54921 max_a=55410 min2_a=54927 min_b=54889 max_b=55703 min2_b=54892 razon=1000 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V0 k=4 r=6 n=8 razon_milesimas=997 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=54165-1789139762383258 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.75 jobs=desconocido k=4 r=6 us=672966 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V0-n8 min=54747 max=55444 min2=54880 disp=1012 acompanada=no min_a=54747 max_a=55444 min2_a=54880 min_b=54908 max_b=55630 min2_b=54913 razon=997 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
  VIAB  V1 k=8 r=15 n=6 razon_milesimas=998 | sonda=reloj modo=medicion estado=ok motivo=- corrida=corrida-2355-1789139627 invocacion=54359-1789139763061761 arbol=6091f195630fdf6639157265b4b11e2f317cdae9 plataforma=linux-gnu-x86_64-bash5.2 carga=2.61 jobs=desconocido k=8 r=15 us=3318253 procesos=no-aplica vivos=0 descendencia=proc+marca instrumentada=no plazo=300 plazo_origen=arranque etiqueta=viab-V1-n6 min=108800 max=111293 min2=108912 disp=1022 acompanada=no min_a=108800 max_a=111293 min2_a=108912 min_b=109003 max_b=111785 min2_b=109081 razon=998 cal_a=desconocido cal_b=desconocido cal_n=desconocido cal_margen=4 cal_ns_vuelta=desconocido disc_param=desconocido disc_obs=desconocido disc_estado=- suelo=50000
